origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.010,166.92474994022953
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.025,242.97802993479192
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.050,335.42064481507356
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.100,486.25242028161927
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.150,624.5948314633459
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.200,762.0563754218748
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.250,903.8216931978181
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.300,1053.4427859938367
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.350,1214.0891108766598
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.400,1389.101061375259
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.450,1582.3832786495773
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.500,1798.821014654091
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.550,2044.8443185993704
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.600,2329.3022886592953
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.650,2664.940839888984
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.700,3071.101898575101
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.750,3579.103913448365
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.800,4244.237690333854
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.850,5177.040996939211
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.900,6647.2085053948385
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.950,9627.884953154744
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.975,13276.24338808812
2024-10-09,ILI incidence,2024-10-06,1,AT,quantile,0.990,19289.51962824707
2024-10-09,ILI incidence,2024-10-06,1,AT,median,,1798.821014654091
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.010,160.50225630407124
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.025,235.1672813649775
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.050,326.4644899798371
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.100,476.32821831703006
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.150,614.5069230922401
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.200,752.3346539461771
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.250,894.9296821378315
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.300,1045.846634492132
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.350,1208.2970727403604
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.400,1385.6972954717899
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.450,1582.0657093232692
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.500,1802.4508065118978
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.550,2053.516620727493
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.600,2344.4540671054333
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.650,2688.525084302194
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.700,3105.8875844323684
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.750,3629.234466333996
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.800,4316.383774224713
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.850,5283.156342496588
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.900,6812.833095759336
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.950,9931.175582484288
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.975,13770.741761645788
2024-10-09,ILI incidence,2024-10-13,2,AT,quantile,0.990,20137.633886233965
2024-10-09,ILI incidence,2024-10-13,2,AT,median,,1802.4508065118978
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.010,154.40926230369203
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.025,227.71057281357852
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.050,317.8684377185626
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.100,466.74521449291666
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.150,604.7273330963366
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.200,742.8820419775369
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.250,886.2639015455617
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.300,1038.431670201172
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.350,1202.6402499445626
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.400,1382.3831812769752
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.450,1581.7943521629243
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.500,1806.087918758134
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.550,2062.165528521841
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.600,2359.5655976728162
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.650,2712.0753946388995
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.700,3140.6848646622298
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.750,3679.4909344707726
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.800,4388.898615431583
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.850,5390.149726443399
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.900,6980.507549279396
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.950,10240.109999741744
2024-10-09,ILI incidence,2024-10-20,3,AT,quantile,0.975,14277.162596284348
